low,high
-5.443935488,5.706987533
19.98395584,11.49877704
26.86798384,23.85382344
-0.022561646,-6.179805194
27.74191684,1.481602184
0.820113539,-0.024000857
10.52649559,6.157637122
33.55384277,0.390311194
37.34900767,56.78789847
5.260359536,1.771749272
13.38955723,-5.87887079
17.05933111,9.083501822
40.74609951,36.81191362
13.48292826,44.48312839
33.23763435,35.45911409
58.99302098,45.56833449
28.21072239,21.44465702
95.98849585,89.08632776
15.60639961,12.06828913
40.74609951,36.81191362
35.08382326,15.42810209
0.008489095,12.51180092
19.31722043,5.345147042
18.88249701,11.14031854
70.61375407,80.19698366
27.0821472,27.85922394
17.27674918,1.504356811
50.4412242,35.00152236
70.61375407,80.19698366
30.97065331,57.7927162
67.64111021,57.94121972
-11.53097368,-0.49014966
20.43196938,19.5742414
27.19328804,23.38634019
11.35678946,60.97908251
32.7997726,21.46025589
